targeting_type,type
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Hatchbacks > Hatchbacks (New)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Hatchbacks > Hatchbacks (Used)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Hybrid & Alternative Vehicles
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Hybrid & Alternative Vehicles > Hybrid & Alternative Vehicles (New)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Hybrid & Alternative Vehicles > Hybrid & Alternative Vehicles (Used)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Luxury Vehicles
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Luxury Vehicles > Luxury Vehicles (New)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Luxury Vehicles > Luxury Vehicles (Used)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Microcars & Subcompacts
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Microcars & Subcompacts > Microcars & Subcompacts (New)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Microcars & Subcompacts > Microcars & Subcompacts (Used)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Motorcycles
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Motorcycles > Motorcycles (New)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Motorcycles > Motorcycles (Used)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Off-Road Vehicles
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Off-Road Vehicles > Off-Road Vehicles (New)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Off-Road Vehicles > Off-Road Vehicles (Used)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Pickup Trucks
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Pickup Trucks > Pickup Trucks (New)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Pickup Trucks > Pickup Trucks (Used)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > SUVs
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > SUVs > SUVs (New)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > SUVs > SUVs (Used)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Scooters & Mopeds
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Scooters & Mopeds > Scooters & Mopeds (New)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Scooters & Mopeds > Scooters & Mopeds (Used)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Sedans
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Sedans > Sedans (New)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Sedans > Sedans (Used)
